serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
1,tut_rselvakumartah,01,0154,28,01,001,,102,0015,2023-03-23,01,2023-03-23 15:52:04.771,2023/0154/28/000570,24,1,59115,0,00,,,133280122203291,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_rselvakumartah,01,0154,28,01,001,,102,0015,2023-03-23,01,2023-03-23 15:52:37.683,2023/0154/28/000572,26,0,59119,0,00,,,133280122203291,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,103,0015,2023-06-12,01,2023-07-19 17:19:52.073,2023/0153/28/001232,5,4A,60738,0,0,,,202329380999,,,10.236.251.173,,-,0,C,202329380999,S,4A,,,,N,,,
2,tut_ramyadevi,01,0153,28,01,001,,103,0015,2023-03-06,01,2023-05-18 17:54:46.519,2023/0153/28/000327,6,1,60742,0,00,,,133280122454899,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_elambahavath,01,0169,28,01,001,,002,0015,2023-05-30,02,2025-09-26 17:04:13.571,2023/0169/28/030517,1352,1B,0,0,00,,,,,,10.239.185.214,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_ramyadevi,01,0153,28,01,001,,103,0015,2023-03-06,01,2023-05-18 17:54:46.952,2023/0153/28/000327,6,2,60743,0,00,,,133280122454899,,,117.216.137.204,,tut_tct_t131_02,0,C,,,,,,,,,,
1,tut_elambahavath,01,0169,28,01,001,,002,0015,2023-05-30,02,2025-09-26 17:04:13.571,2023/0169/28/030523,1352,1C,0,0,00,,,,,,10.239.185.214,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_elambahavath,01,0169,28,01,001,,002,0015,2023-05-30,02,2025-09-26 17:04:13.571,2023/0169/28/030525,1373,0,0,0,00,,,,,,10.239.185.214,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_elambahavath,01,0169,28,01,001,,002,0015,2023-05-30,02,2025-09-26 17:04:13.571,2023/0169/28/030528,1374,0,0,0,00,,,,,,10.239.185.214,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_ramyadevi,-,0153,28,01,001,,002,0015,2023-05-05,01,2023-05-18 17:42:18.682,2023/0153/28/000942,1369,4,7948,0,0,,,202328845868,,,10.236.251.149,,-,0,C,202328845868,S,4,,,,N,,,
