application_id,district_code,taluk_code,town_code,ward_code,block_code,survey_number,temporary_subdivision_number,new_subdivision_number,existing_patta_number,area_hectare,area_ares,area_square_meter,new_patta_waste,last_updated_datetime,submitted_datetime,land_type,government_private_flag,tax_rate,tax_per_hectare,primary_soil_type,secondary_soil_type,adopted_area_hectare,adopted_area_ares,status,adopted_area_square_meter,surveyor_adopted_area_hectare,surveyor_adopted_area_ares,surveyor_adopted_area_square_meter,district_adopted_area_hectare,district_adopted_area_ares,district_adopted_area_square_meter,new_patta_number,group_survey_number,group_subdivision_number,group_temporary_subdivision_number,group_patta_number,plot_type,plot_number,land_use,land_use_description
2022/0154/28/000779,28,01,001,102,0015,24,3/T1,3,59117,0,29,12.2,,2022-10-28 22:16:30.168,2022-10-28 22:16:30.168,,,,,0,,0,29,0,12.2,0,29,12.2,0,29,12.2,,,,,,,,,
2022/0154/28/000779,28,01,001,102,0015,24,3/T2,4,-,0,7,27.8,,2022-10-28 22:16:30.168,2022-10-28 22:16:30.168,,,,,0,,0,7,0,27.8,0,7,27.8,0,7,27.8,65322,,,,,,,,
2023/0154/28/000021,28,01,001,103,0015,90,0/T1,1,60858,0,1,3.5,,2023-01-09 09:23:38.369,2023-01-09 09:23:38.369,,,,,0,,0,1,0,3.5,0,1,3.5,0,1,3.5,,,,,,,,,
2023/0154/28/000021,28,01,001,103,0015,90,0/T2,2,-,0,1,3.5,,2023-01-09 09:23:38.369,2023-01-09 09:23:38.369,,,,,0,,0,1,0,3.5,0,1,3.5,0,1,3.5,65338,,,,,,,,
2023/0154/28/000376,28,01,001,102,0015,24,1/T1,,59115,0,18,70.0,,2023-03-11 08:49:59.17,2023-03-11 08:49:59.17,,,,,0,,0,18,0,70.0,0,18,70.0,0,18,70.0,,,,,,,,,
2023/0154/28/000376,28,01,001,102,0015,24,1/T2,,-,0,0,90.0,,2023-03-11 08:49:59.17,2023-03-11 08:49:59.17,,,,,0,,0,0,0,90.0,0,0,90.0,0,0,90.0,,,,,,,,,
2023/0154/28/000376,28,01,001,102,0015,24,1/T3,,-,0,0,10.0,,2023-03-11 08:49:59.17,2023-03-11 08:49:59.17,,,,,0,,0,0,0,10.0,0,0,10.0,0,0,10.0,,,,,,,,,
2023/0154/28/000395,28,01,001,102,0015,25,0/T1,,59118,0,0,10.0,,2023-03-11 09:16:32.091,2023-03-11 09:16:32.091,,,,,0,,0,0,0,10.0,0,0,10.0,0,0,10.0,,,,,,,,,
2023/0154/28/000395,28,01,001,102,0015,25,0/T2,,-,0,3,88.0,,2023-03-11 09:16:32.091,2023-03-11 09:16:32.091,,,,,0,,0,3,0,88.0,0,3,88.0,0,3,88.0,,,,,,,,,
2023/0154/28/000395,28,01,001,102,0015,25,0/T3,,-,0,18,52.0,,2023-03-11 09:16:32.091,2023-03-11 09:16:32.091,,,,,0,,0,18,0,52.0,0,18,52.0,0,18,52.0,,,,,,,,,
2023/0154/28/000570,28,01,001,102,0015,24,1/T1,1,59115,0,18,70.0,,2023-03-23 15:02:19.385,2023-03-23 15:02:19.385,,,,,0,,0,18,0,70.0,0,18,70.0,0,18,70.0,,,,,,,,,
2023/0154/28/000570,28,01,001,102,0015,24,1/T2,5,-,0,0,90.0,,2023-03-23 15:02:19.385,2023-03-23 15:02:19.385,,,,,0,,0,0,0,90.0,0,0,90.0,0,0,90.0,65336,,,,,,,,
2023/0154/28/000570,28,01,001,102,0015,24,1/T3,6,-,0,0,10.0,,2023-03-23 15:02:19.385,2023-03-23 15:02:19.385,,,,,0,,0,0,0,10.0,0,0,10.0,0,0,10.0,65337,,,,,,,,
2023/0154/28/000571,28,01,001,102,0015,25,0/T1,1,59118,0,0,10.0,,2023-03-23 15:17:17.02,2023-03-23 15:17:17.02,,,,,0,,0,0,0,10.0,0,0,10.0,0,0,10.0,,,,,,,,,
2023/0154/28/000571,28,01,001,102,0015,25,0/T2,2,-,0,3,88.0,,2023-03-23 15:17:17.02,2023-03-23 15:17:17.02,,,,,0,,0,3,0,88.0,0,3,88.0,0,3,88.0,65338,,,,,,,,
2023/0154/28/000571,28,01,001,102,0015,25,0/T3,3,-,0,18,52.0,,2023-03-23 15:17:17.02,2023-03-23 15:17:17.02,,,,,0,,0,18,0,52.0,0,18,52.0,0,18,52.0,65339,,,,,,,,
2023/0154/28/000572,28,01,001,102,0015,26,0/T1,1,59119,0,1,0.0,,2023-03-23 15:20:07.068,2023-03-23 15:20:07.068,,,,,0,,0,1,0,0.0,0,1,0.0,0,1,0.0,,,,,,,,,
2023/0154/28/000572,28,01,001,102,0015,26,0/T2,2,-,0,1,40.0,,2023-03-23 15:20:07.068,2023-03-23 15:20:07.068,,,,,0,,0,1,0,40.0,0,1,40.0,0,1,40.0,65340,,,,,,,,
2023/0154/28/003023,28,01,001,002,0015,1355,1O2/T1,1O2,7652,0,0,22.6,,2023-10-30 13:16:23.101,2023-10-30 13:16:23.101,,,,,0,,0,0,0,22.6,,,,0,0,22.6,,,,,,,,,
2023/0154/28/003023,28,01,001,002,0015,1355,1O2/T2,3,-,0,0,35.4,,2023-10-30 13:16:23.101,2023-10-30 13:16:23.101,,,,,0,,0,0,0,35.4,,,,0,0,35.4,65370,,,,,,,,
2024/0154/28/001095,28,01,001,103,0015,6,1/T1,1,60742,0,59,62.5,,2024-06-14 15:19:21.288,2024-06-14 15:19:21.288,,,,,0,,0,59,0,62.5,0,59,62.5,0,59,62.5,60742,,,,,,,,
2024/0154/28/001095,28,01,001,103,0015,6,1/T2,3,-,0,1,1.5,,2024-06-14 15:19:21.288,2024-06-14 15:19:21.288,,,,,0,,0,1,0,1.5,0,1,1.5,0,1,1.5,65544,,,,,,,,
2024/0154/28/002252,28,01,001,102,0015,35,2T/T1,2T,59150,0,16,80.4,,2024-12-31 12:56:30.839,,,,,,0,,0,16,E,80.4,,,,0,16,80.4,59150,,,,,,,16,மற்றவை
2024/0154/28/002252,28,01,001,102,0015,35,2T/T2,3,-,0,5,19.6,,2024-12-31 12:56:30.839,,,,,,0,,0,5,E,19.6,,,,0,5,19.6,65477,,,,,,,13,அலுவலகம்
2025/0154/28/000286,28,01,001,102,0015,1,0/T1,1,59092,0,15,15.5,,2025-03-18 08:46:35.897,,,,,,0,,0,15,E,15.5,0,15,15.5,,,,59092,,,,,,,6,வசிப்பிடம்
