slno,district_code,taluk_code,town_code,ward_code,block_code,application_id,survey_number,subdivision_number,old_patta_number,land_type_code,extent_value_1,extent_value_2,extent_value_3,registration_document_number,transfer_reason,registration_date,registration_place,submission_date,government_private_flag,transaction_status,last_updated_datetime,submitted_datetime,form8a_number,receipt_date,tahsildar_receipt_date,purchased_area,surveyor_received_date,surveyor_completed_date,court_order_number,court_order_date,court_name,purchased_area_unit,sketch_sent_date,sketch_received_date,incorporation_date,handover_received_date,commissioner_change_date,street_code,old_street_code,sis_recommendation,sis_remarks,sis_recommendation_reason,surveyor_recommendation,surveyor_remarks,surveyor_recommendation_reason,district_recommendation,district_remarks,district_recommendation_reason,tahsildar_recommendation,tahsildar_remarks,tahsildar_recommendation_reason,land_category_code,old_door_number,new_door_number,payment_amount,generated_patta_number,total_subdivisions
495650,28,01,001,002,0015,2023/0154/28/001257,1358,1F,7908,2,0,0,15.0,R/520/1/514/2023,Sale deed,2023-05-03,Tuticorin Joint II,2023-05-03 17:19:44.413,,02/03,2023-09-01 08:13:27.937,,"",,0007-03-16,-,,,,,,-,,,,,,,,,,,,,,,,,N,REJ,03,1,,,,,
495649,28,01,001,002,0015,2023/0154/28/001257,1358,1G,7909,2,0,0,26.5,R/520/1/514/2023,Sale deed,2023-05-03,Tuticorin Joint II,2023-05-03 17:19:44.413,,02/03,2023-09-01 08:13:27.937,,"",,0007-03-16,-,,,,,,-,,,,,,,,,,,,,,,,,N,REJ,03,1,,,,,
515018,28,01,001,002,0015,2023/0154/28/001742,1362,1,7726,2,0,0,45.0,R/520/1/628/2023,Settlement deed,2023-06-01,Tuticorin Joint II,2023-06-01 16:57:56.764,,02/03,2023-09-02 21:48:20.547,,"",,0008-03-15,-,,,,,,-,,,,,,,,,,,,,,,,,N,reject,03,1,,,,,
582069,28,01,001,002,0015,2023/0154/28/003023,1355,1O1,7651,2,0,0,17.5,R/520/1/915/2023,Settlement deed,2023-07-28,Tuticorin Joint II,2023-09-27 20:25:46.045,,02/08,2023-11-17 14:18:38.418,,"",,0023-05-16,17.5,,2023-10-30,,,,Square Metre,2023-10-30,,,,,0002,,N,rej,08,N,REJ,08,N,rej,08,N,reject,08,,.,"",,,
582070,28,01,001,002,0015,2023/0154/28/003023,1355,1O2,7652,2,0,0,58.0,R/520/1/915/2023,Settlement deed,2023-07-28,Tuticorin Joint II,2023-09-27 20:25:46.045,,01,2023-11-17 14:18:38.418,,"",,0023-05-16,58,,2023-10-30,,,,Square Metre,2023-10-30,,,,,0002,,Y,ok,"",Y,OK,"",Y,ok,"",Y,approved,"",,.,"",,,
582071,28,01,001,002,0015,2023/0154/28/003023,1355,1O3,7653,2,0,0,15.5,R/520/1/915/2023,Sale deed,2023-07-28,Tuticorin Joint II,2023-09-27 20:25:46.045,,02/08,2023-11-17 14:18:38.418,,"",,0023-05-16,15.5,,2023-10-30,,,,Square Metre,2023-10-30,,,,,0002,,N,rej,08,N,REJ,08,N,rej,08,N,reject,08,,.,"",,,
582072,28,01,001,002,0015,2023/0154/28/003023,1355,1O4,7654,2,0,0,16.5,R/520/1/915/2023,Settlement deed,2023-07-28,Tuticorin Joint II,2023-09-27 20:25:46.045,,02/08,2023-11-17 14:18:38.418,,"",,0023-05-16,16.5,,2023-10-30,,,,Square Metre,2023-10-30,,,,,0002,,N,rej,08,N,REJ,08,N,rej,08,N,reject,08,,.,"",,,
776160,28,01,001,002,0015,2024/0154/28/001487,1363,0,8011,2,0,2,14.0,R/520/1/575,Sale deed,2024-05-05,Tuticorin Joint II,2024-07-22 21:04:22.869,2,02/19,,,,,,2,,,,,,Square Metre,,,,,,,0007,N,already patta issyed,19,S,,,N,already patta issyed/[Already TSLR / Patta Issued],19,N,Already patta issued,19,1,,,,,
919374,28,01,001,002,0015,2025/0154/28/000466,1398,10,7880,2,0,0,30.5,R/520/1/026/2018,Gift deed,2020-07-05,Tuticorin Joint II,2025-03-18 11:28:04.245,2,01,,,2025/28/01/000299SD,,2025-01-20,30,,,,,,Square Metre,2025-05-19,,,2025-05-20,,,0005,Y,recommended,,Y,k,,Y,k,,Y,Approved.,,1,,,,,
919376,28,01,001,002,0015,2025/0154/28/000466,1398,11,7881,2,0,0,27.0,R/520/1/026/2018,Gift deed,2020-07-05,Tuticorin Joint II,2025-03-18 11:28:04.245,2,02/15,,,2025/28/01/000299SD,,2025-01-20,27,,,,,,Square Metre,2025-05-19,,,2025-05-20,,,0005,N,incorrect survey no,15,N,incorrect survey no/[Incorrect Survey /Subdivision number],15,N,incorrect survey no/ [Incorrect Survey /Subdivision number],15,N,incorrect survey no/ [Incorrect Survey /Subdivision number]/ [Incorrect Survey /Subdivision number],15,1,,,,,
919375,28,01,001,002,0015,2025/0154/28/000466,1398,12,7882,2,0,0,42.5,R/520/1/026/2018,Gift deed,2020-07-05,Tuticorin Joint II,2025-03-18 11:28:04.245,2,01,,,2025/28/01/000299SD,,2025-01-20,42,,,,,,Square Metre,2025-05-19,,,2025-05-20,,,0005,Y,recommended,,Y,k,,Y,k,,Y,Approved.,,1,,,,,
919373,28,01,001,002,0015,2025/0154/28/000466,1398,7,7888,2,0,0,23.0,R/520/1/026/2018,Gift deed,2020-07-05,Tuticorin Joint II,2025-03-18 11:28:04.245,2,01,,,2025/28/01/000299SD,,2025-01-20,23,,,,,,Square Metre,2025-05-19,,,2025-05-20,,,0005,Y,recommended,,Y,k,,Y,ok,,Y,Approved.,,1,,,,,
1238800,28,01,001,002,0015,2026/0154/28/001167,1355,1A,7905,2,0,44,95.0,R/520/1/0196/2026,Sale deed,2027-08-02,Tuticorin Joint II,2026-06-16 11:40:57.543,2,,,,,,,95.0,,,,,,Square Metre,,,,,,,0006,,,,,,,,,,,,,1,,,,,
1238801,28,01,001,002,0015,2026/0154/28/001167,1363,0,8011,2,0,2,14.0,R/520/1/0196/2026,Sale deed,2027-08-02,Tuticorin Joint II,2026-06-16 11:40:57.543,2,,,,,,,14.0,,,,,,Square Metre,,,,,,,0007,,,,,,,,,,,,,1,,,,,
265982,28,01,001,102,0015,2022/0154/28/000156,22,0,59113,2,0,1,0.0,R/527/1/1015/2022,விடுதலை ஆவணம்,2022-03-12,1 எண் இணை சார்பதிவாளர் தூத்துக்குடி,2022-03-12 16:43:15.859,,02/01,2022-06-14 11:25:01.138,,"",,0019-12-13,-,,,,,,-,,,,,,,,,,,,,,,,,N,UN APPROVAL LAYOUT,01,,,,,,
375438,28,01,001,102,0015,2022/0154/28/000776,24,3,59117,2,0,36,40.0,2814,Sale deed,2022-06-30,Tuticorin Joint I,2022-10-12 18:08:28.626,,02/19,2022-10-25 09:26:55.127,,"",,0031-04-14,3640,,,,,,Square Metre,,,,,,,,,,,,,,,,,N,REJECT,19,,,,,,
