district_code,taluk_code,town_code,ward_code,block_code,street_code,survey_number,subdivision_number,old_subdivision_number,old_survey_number,double_crop_flag,partition_indicator,door_number,government_priority_flag,land_type_code,irrigation_source_code,tax_rate_code,primary_soil_type,secondary_soil_type,soil_class_code,tax_per_hectare,extent_unit,extent_value_1,extent_value_2,extent_value_3,total_tax,patta_number,coss_block_code,land_use_code,remarks,remarks1,new_patta_number,old_patta_number,form6_number,form7_number,form8_number,relinquishment_number,assignment_number,alienation_number,acquisition_number,assessed_flag,cultivable_flag,last_updated_datetime,user_number,descriptive_remark_code,descriptive_land_use,municipal_tax,new_door_number
28,01,001,002,0015,0008,1343,0,,1343,N,P,.,1,3,"",0,0,"","",0.00,2,0,21,58.0,0.00,0,0,16,ரோடு,"",,,,,,,,,,Y,Y,2018-10-06 15:59:42.7+05:30,60,,"",0.00,
28,01,001,002,0015,0008,1344,1,,1344/1,N,P,47,1,3,"",0,8,2,4,2.00,2,0,7,76.0,2.00,8021,0,16,காலியிடம்,"",,,,,,,,,,Y,Y,2018-10-06 16:01:15.501+05:30,60,,"",0.00,
28,01,001,002,0015,0008,1344,2,,1344/2,N,P,.,1,3,"",0,0,"","",0.00,2,0,0,34.5,0.00,0,0,16,கடை,"",,,,,,,,,,Y,Y,2018-10-06 16:02:05.872+05:30,60,,"",0.00,
28,01,001,002,0015,0008,1345,1,,1345/1,N,P,.,2,2,"",0,8,2,4,2.00,2,0,0,80.5,2.00,8022,0,16,ஓட்டுசெட்காலியிடம்,-TR.NO/2022/0169/28/009674,,,2022/0169/28/009674,,,,,,,Y,Y,2022-07-14 21:11:11.513+05:30,60,,"",0.00,
28,01,001,002,0015,0008,1345,2,,1345/2,Y,P,45a                 ,2,2,  ,0,8,2 ,4 ,2.00,2,0,6,66.0,2.00,8023,0,16,மட்டப்பாவீடு காலியிடம்,-TR.NO/2022/0169/28/009684,,,2022/0169/28/009684,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1345,3,,1345/2,Y,P,45a                 ,2,2,  ,0,8,2 ,4 ,2.00,2,0,3,77.5,2.00,8024,0,16,மட்டப்பாவீடு காலியிடம்,-TR.NO/2022/0169/28/009703,,,2022/0169/28/009703,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1346,1,,1345/2,Y,P,45a                 ,2,2,  ,0,8,2 ,4 ,2.00,2,0,8,42.5,2.00,8025,0,16,கோழிப்பண்ணை காலியிடம்,-TR.NO/2022/0169/28/009712,,,2022/0169/28/009712,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1346,2,,1345/2,Y,P,45a                 ,2,2,  ,0,8,2 ,4 ,2.00,2,0,0,20.0,2.00,8026,0,16,கடை,-TR.NO/2022/0169/28/009735,,,2022/0169/28/009735,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1347,0,,"",N,P,                    ,2,2,  ,-,0,"","",0.00,2,0,8,0.0,0.00,8027,0,16,உப்புமில்காலியிடம்,"",,,,,,,,,,N,N,2018-04-16 11:46:29+05:30,60,,"",,
28,01,001,002,0015,0008,1348,1,,1348PT,Y,P,24a                 ,2,2,  ,0,0,"","",0.77,2,0,2,52.5,0.00,65220,0,16,கடை காலியிடம்,-TR.NO/2022/0169/28/021265,,,2022/0169/28/021265,,,,,,,Y,N,2022-07-22 18:24:52.593+05:30,60,,"",,
28,01,001,002,0015,0008,1348,2,,1348PT,Y,P,.                   ,2,2,  ,0,0,"","",0.77,2,0,0,64.0,0.00,65221,0,16,புஸ்த்திரோடு கட்டிடம் காலியிடம்,-TR.NO/2022/0169/28/021275,,,2022/0169/28/021275,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1349,1,,1349/PT,Y,P,23a                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,59.0,0.77,8028,0,16,மட்டப்பாவீடு காலியிடம்,-TR.NO/2022/0169/28/021276,,,2022/0169/28/021276,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1349,2,,1349/PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,65.0,0.77,8029,0,16,பாதை காலிடம்,-TR.NO/2022/0169/28/021277,,,2022/0169/28/021277,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1349,3,,1349/PT,Y,P,24/1                ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,61.0,0.77,8030,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/021278,,,2022/0169/28/021278,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1349,4,,1349/PT,Y,P,22                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,9.5,0.77,8031,0,16,கடை,-TR.NO/2022/0169/28/021282,,,2022/0169/28/021282,,,,,,,Y,N,2022-07-22 18:25:05.42+05:30,60,,"",,
28,01,001,002,0015,0008,1349,5,,1349/PT,Y,P,23                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,10.0,0.77,8032,0,16,கடை,2024/0153/28/003095TR DT. 2024-11-26,,,2024/0153/28/003095,,,,,,,Y,N,2024-11-26 12:02:15.464+05:30,60,,"",,""
28,01,001,002,0015,0008,1349,6,,1349/PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,11.5,0.77,8033,0,16,புஸ்த்தி தெரு,-TR.NO/2022/0169/28/021280,,,2022/0169/28/021280,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1350,1,,1350/PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,19.0,0.77,8034,0,16,ஓடுவீடு நடைபாதைஅடுப்பு,-TR.NO/2022/0169/28/021281,,,2022/0169/28/021281,,,,,,,Y,N,2022-07-22 18:24:58.633+05:30,60,,"",,
28,01,001,002,0015,0008,1350,2,,1350/PT,Y,P,23/5a               ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,34.5,0.77,8035,0,16,ஓடுவீடு,-TR.NO/2022/0169/28/021283,,,2022/0169/28/021283,,,,,,,Y,N,2022-07-22 18:25:05.42+05:30,60,,"",,
28,01,001,002,0015,0008,1350,3,,1350/PT,Y,P,/5b                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,36.0,0.77,8036,0,16,ஓடுவீடு,2023/0153/28/002263TR DT. 2023-09-23,,,2023/0153/28/002263,,,,,,,Y,N,2023-09-23 07:12:42.147+05:30,60,,"",,""
28,01,001,002,0015,0008,1350,4,,1350/PT,Y,P,23/6                ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,43.5,0.77,8037,0,16,ஓடு வீடு,2024/0153/28/003302TR DT. 2024-12-23,,,2024/0153/28/003302,,,,,,,Y,N,2024-12-23 16:31:20.238+05:30,60,,"",,""
28,01,001,002,0015,0008,1350,5,,1350/PT,Y,P,23/7                ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,42.0,0.77,8038,0,16,மட்டப்பாவீடு,-TR.NO/2022/0169/28/009760,,,2022/0169/28/009760,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1350,6,,1350/PT,Y,P,21                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,13.0,0.77,8039,0,16,கடை,-TR.NO/2022/0169/28/009775,,,2022/0169/28/009775,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1350,7,,1350/PT,Y,P,20                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,13.0,0.77,8040,0,15,கடை,-TR.NO/2022/0169/28/009729,,,2022/0169/28/009729,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1350,8,,1350/PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,1,21.5,0.77,8041,0,16,பாதை,-TR.NO/2022/0169/28/009788,,,2022/0169/28/009788,,,,,,,Y,N,2022-07-14 21:11:11.513+05:30,60,,"",,
28,01,001,002,0015,0008,1351,1,,1351/1,Y,P,19                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,1,14.5,0.77,8042,0,16,மருத்துவகிளினிக்  காலியிடம்,-TR.NO/2022/0169/28/009792,,,2022/0169/28/009792,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1351,2,,1351/2,Y,P,19                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,1,17.0,0.77,8043,0,16,மருத்துவக்கிளினிக் காலியிடம்,-TR.NO/2022/0169/28/009796,,,2022/0169/28/009796,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3A,,1351/3A,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,47.0,0.77,8044,0,16,முற்றம் பாதை,-TR.NO/2022/0169/28/009800,,,2022/0169/28/009800,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3B,,1351/3PT,Y,P,15d                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,26.0,0.77,8045,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/023924,,,2022/0169/28/023924,,,,,,,Y,N,2022-08-25 11:22:26.668+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3C,,1351/3PT,Y,P,15c                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,14.0,0.77,8046,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/023926,,,2022/0169/28/023926,,,,,,,Y,N,2022-08-25 11:22:26.668+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3D,,1351/3PT,Y,P,15b                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,46.0,0.77,8047,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/023927,,,2022/0169/28/023927,,,,,,,Y,N,2022-08-25 11:22:26.668+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3E,,1351/3PT,Y,P,15a                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,31.0,0.77,8048,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/009805,,,2022/0169/28/009805,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3F,,1351/3PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,10.0,0.77,8049,0,16,முற்றம்,-TR.NO/2022/0169/28/009797,,,2022/0169/28/009797,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1351,3G,,1351/3PT,Y,P,15c                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,12.5,0.77,8050,0,16,கடை,-TR.NO/2022/0169/28/010018,,,2022/0169/28/010018,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1352,1A,,1352//1PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,2,32.5,0.77,8051,0,16,வீடும் முற்றமும்,-TR.NO/2022/0169/28/010024,,,2022/0169/28/010024,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
28,01,001,002,0015,0008,1352,1B,,1352/1PT,N,P,15d,1,2,"",0,0,"","",0.00,2,0,0,6.0,0.00,0,0,16,மட்டப்பா வீடு காலியிடம்,"",,,,,,,,,,Y,Y,2018-10-06 16:04:24.379+05:30,60,,"",0.00,
28,01,001,002,0015,0008,1352,1C,,1352/1PT,Y,P,15c                 ,1,2,  ,0,0,"","",0.00,2,0,0,5.0,0.00,0,0,16,மட்டப்பா வீடு,"",,,,,,,,,,Y,N,2018-04-16 15:27:56+05:30,60,,"",,
28,01,001,002,0015,0001,1352,1D,,1352/1PT,Y,P,15a                 ,1,5,  ,0,8,2 ,4 ,0.77,2,0,0,3.0,0.77,7579,0,16,காரை வீடு,"",,,,,,,,,,Y,N,2017-11-03 16:50:14+05:30,60,,"",,
28,01,001,002,0015,0008,1352,1E,,1352/1PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,2.00,2,0,0,31.0,2.00,8052,0,16,பாதை,-TR.NO/2022/0169/28/025386,,,2022/0169/28/025386,,,,,,,Y,N,2022-08-25 11:22:26.668+05:30,60,,"",,
28,01,001,002,0015,0008,1352,1F,,1352/1PT,Y,P,.                   ,2,2,  ,0,8,2 ,4 ,0.91,2,0,0,14.5,0.91,8053,0,16,கடை,-TR.NO/2022/0169/28/010056,,,2022/0169/28/010056,,,,,,,Y,N,2022-07-14 21:11:56.55+05:30,60,,"",,
28,01,001,002,0015,0006,1352,1G,,1352/PT,Y,P,14c                 ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,15.0,0.77,7897,0,16,கடை,-TR.NO/2022/0169/28/010061,,,2022/0169/28/010061,,,,,,,Y,N,2022-07-14 21:11:56.55+05:30,60,,"",,
28,01,001,002,0015,0008,1352,2A,,1352/2PT,Y,P,7                   ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,69.0,0.77,8054,0,16,கடை,-TR.NO/2022/0169/28/010065,,,2022/0169/28/010065,,,,,,,Y,N,2022-07-14 21:11:56.55+05:30,60,,"",,
28,01,001,002,0015,0008,1352,2B,,1352/2PT,Y,P,8                   ,2,2,  ,0,8,2 ,6 ,0.77,2,0,0,69.0,0.77,8055,0,16,மட்டப்பா வீடு,-TR.NO/2022/0169/28/010058,,,2022/0169/28/010058,,,,,,,Y,N,2022-07-14 21:11:56.55+05:30,60,,"",,
28,01,001,002,0015,0008,1352,2C,,1352/2PT,Y,P,11                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,76.5,0.77,8056,0,16,காரை வீடு,-TR.NO/2022/0169/28/010050,,,2022/0169/28/010050,,,,,,,Y,N,2022-07-14 21:11:56.55+05:30,60,,"",,
28,01,001,002,0015,0008,1352,2D,,1352/2PT,Y,P,14                  ,2,2,  ,0,8,2 ,4 ,0.77,2,0,0,13.5,0.77,8057,0,16,கடை,-TR.NO/2022/0169/28/010036,,,2022/0169/28/010036,,,,,,,Y,N,2022-07-14 21:11:36.531+05:30,60,,"",,
